canonical_name,slug,used_in_n_workout_slots,aliases,exercise_url
Floor Reach,floor-reach,3,Straight Leg Toe Touch,https://www.muscleandstrength.com/exercises/floor-reach.html
Kettlebell Romanian Deadlift,kettlebell-romanian-deadlift,3,Kettlebell RDL,https://www.muscleandstrength.com/exercises/kettlebell-romanian-deadlift
Floor Dumbbell Fly,one-arm-dumbbell-fly,3,Single Arm Kettlebell Fly,https://www.muscleandstrength.com/exercises/one-arm-dumbbell-fly
Cable Preacher Curl - Burn,preacher-cable-curl,3,,https://www.muscleandstrength.com/exercises/preacher-cable-curl.html
Seated Dumbbell Curl,one-arm-seated-dumbbell-curl,3,,https://www.muscleandstrength.com/exercises/one-arm-seated-dumbbell-curl.html
Seated Hammer Curl,seated-hammer-curl,3,Seated Dumbbell Hammer Curl,https://www.muscleandstrength.com/exercises/seated-hammer-curl.html
2. Banded Nordic Hamstring Curl,band-assisted-nordic-hamstring-curl,3,Banded Hamstring Curl; Band Assisted Nordic Curls,https://www.muscleandstrength.com/exercises/band-assisted-nordic-hamstring-curl
Machine Tricep Pressdown,machine-tricep-extension,3,Seated Elbows Supported Tricep Extension Machine; Machine Tricep Extension,https://www.muscleandstrength.com/exercises/machine-tricep-extension
Wide Leg Press,wide-stance-45-degree-leg-press,3,4. Wide Stance Leg Press; Leg Press (Wide Foot Placement),https://www.muscleandstrength.com/exercises/wide-stance-45-degree-leg-press.html
Wide Grip Bicep Curl,wide-grip-standing-barbell-curl,3,Wide-Grip Barbell Curl; 4a. Wide Grip Barbell Curl,https://www.muscleandstrength.com/exercises/wide-grip-standing-barbell-curl.html
Smith Machine Lunge,smith-machine-lunge,3,Smith Split Lunge,https://www.muscleandstrength.com/exercises/smith-machine-lunge.html
Single Leg Extensions,single-leg-extension,3,3. Single Leg Extension,https://www.muscleandstrength.com/exercises/single-leg-extension.html
B2. Dumbbell Kickback,bent-over-dumbbell-kickback,3,5a. Dumbbell Kickback; Bent Over Dumbbell Kickback,https://www.muscleandstrength.com/exercises/bent-over-dumbbell-kickback.html
Incline 2 Arm Overhead Dumbbell Extension,incline-two-arm-dumbbell-extension,3,Lying Incline Dumbbell Extension; 4a. Incline Overhead Dumbbell Extension,https://www.muscleandstrength.com/exercises/incline-two-arm-dumbbell-extension.html
1. Walk Outs (from knees),,3,,
2. Plate Arches,,3,,
Dumbbell Split Squat,dumbbell-split-squat,3,,https://www.muscleandstrength.com/exercises/dumbbell-split-squat
Dumbbell Hip Thrust,,3,,
Dumbbell Jump Squat,dumbbell-jumping-squat,3,,https://www.muscleandstrength.com/exercises/dumbbell-jumping-squat.html
EZ Bar Overhead Extension,standing-overhead-ez-bar-tricep-extension,3,Overhead EZ Bar Tricep Extension,https://www.muscleandstrength.com/exercises/standing-overhead-ez-bar-tricep-extension
Wide Stance Smith Machine Squats,wide-smith-machine-squat,3,Wide Smith Machine Squat; 4. Smith Machine Sumo Squats (Glute Focus),https://www.muscleandstrength.com/exercises/wide-smith-machine-squat.html
Behind the Neck Lat Pulldown,behind-neck-lat-pull-down,3,Behind Neck Lat Pulldown; 10. Behind-the-Neck Pull Down,https://www.muscleandstrength.com/exercises/behind-neck-lat-pull-down.html
Seated Shrugs,seated-dumbbell-shrug,3,3c. Seated Dumbbell Shrug; 7. Seated Dumbbell Shrug,https://www.muscleandstrength.com/exercises/seated-dumbbell-shrug.html
Decline Board Crunches,,3,,
Band Lateral Raise,banded-lateral-raise,3,Banded Lateral Raise,https://www.muscleandstrength.com/exercises/banded-lateral-raise
Barbell Pullover,barbell-pullover,3,,https://www.muscleandstrength.com/exercises/barbell-pullover.html
Superset: Hip Thrust and Sissy Squat (Rest 60-75 seconds between moves and 75-90 seconds between rounds),hip-thrusts,3,Hip Thrust (Rest 90 seconds between sets); Hip Thrusters on a Bench or Exercise Ball,https://www.muscleandstrength.com/exercises/hip-thrusts.html
2. Inverted Row,high-inverted-row,3,Inverted Pull Ups; 4c. Underhand Slant Rows,https://www.muscleandstrength.com/exercises/high-inverted-row.html
1. Barbell Hang Clean,,3,,
3b. Battle Rope,alternating-large-waves-battling-ropes,3,F. Battle Ropes,https://www.muscleandstrength.com/exercises/alternating-large-waves-battling-ropes
Ball Knee Tucks or Pikes on Exercise Ball,seated-leg-tucks,3,"Knee Tucks with Oblique Twist on Exercise Ball; Knee Tucks with feet in TRX Straps, Hands in Plank Position",https://www.muscleandstrength.com/exercises/seated-leg-tucks.html
Vertical Jumps,seated-vertical-jump,3,2b. Vertical Jumps,https://www.muscleandstrength.com/exercises/seated-vertical-jump
"20 minutes of steady-state cardio of choice (jogging, bike, elliptical, etc.)",,3,,
"30 minutes of steady-state cardio of choice (jogging, bike, elliptical, etc.)",,3,,
"23 minute interval session: sprints, bike or other favorite mode:

  						2 Minute Warm-Up
  						12 intervals of 30 seconds of high intensity and 1 minutes of low intensity
  						3 minute cool-down",,3,,
Machine Crunch,,3,,
Weighted Burpees,,3,,
5 Burpees,,3,,
Exercise of your choice,,3,,
A2: Weighted Side Lunges (both sides),dumbbell-side-lunge,3,Dumbbell Side Lunge; Lateral Lunge (each side),https://www.muscleandstrength.com/exercises/dumbbell-side-lunge.html
Minutes,,3,,
Dumbbell Punches,,3,,
Smith Machine Row,smith-machine-bent-over-row,2,Smith Machine Bent-Over Row,https://www.muscleandstrength.com/exercises/smith-machine-bent-over-row.html
Twisting Hanging Knee Raise,twisting-hanging-knee-raise,2,Hanging Knee Raises with Oblique Twist (tilt hips to the side),https://www.muscleandstrength.com/exercises/twisting-hanging-knee-raise.html
Weight Plate Front Raise,weight-plate-front-raise,2,3. Front Plate Raise,https://www.muscleandstrength.com/exercises/weight-plate-front-raise.html
Bodyweight Lateral Lunges,bodyweight-side-lunge,2,Side Lunges (Alt.) 3,https://www.muscleandstrength.com/exercises/bodyweight-side-lunge.html
Stomach Vacuum,standing-stomach-vacuum,2,Vacuums,https://www.muscleandstrength.com/exercises/standing-stomach-vacuum
Seated Ball Dumbbell Shoulder Press,swiss-ball-dumbbell-press,2,Swiss Ball Dumbbell Press (see instructions),https://www.muscleandstrength.com/exercises/swiss-ball-dumbbell-press.html
Behind-the-back Shrug,behind-the-back-barbell-shrug,2,5. Behind the Back Shrug,https://www.muscleandstrength.com/exercises/behind-the-back-barbell-shrug.html
Bench Cable Flys/Pushups superset,flat-bench-cable-flys,2,Flat Cable Flye,https://www.muscleandstrength.com/exercises/flat-bench-cable-flys.html
Decline abdominal reach (weighted),decline-abdominal-reach,2,Decline Abdominal Reach,https://www.muscleandstrength.com/exercises/decline-abdominal-reach.html
Single Leg Dumbbell Deadlift,,2,,
Resistance Band Lat Pull Down,,2,,
Resistance Band Deadlift,,2,,
Resistance Band Row,,2,,
Bodyweight Single Leg Deadlift,bodyweight-single-leg-deadlift,2,Single Stiff-Leg Deadlift,https://www.muscleandstrength.com/exercises/bodyweight-single-leg-deadlift
Turkish Get Up,turkish-get-up,2,Turkish Get Ups,https://www.muscleandstrength.com/exercises/turkish-get-up
Kettlebell Snatch,1-kb-kettlebell-snatch,2,Kettlebell Single-Arm Snatch,https://www.muscleandstrength.com/exercises/1-kb-kettlebell-snatch
One Arm Kettlebell Floor Press,one-arm-kettlebell-floor-press,2,Floor Dumbbell Press,https://www.muscleandstrength.com/exercises/one-arm-kettlebell-floor-press
Kettlebell Sumo Deadlift,one-kettlebell-sumo-deadlift,2,,https://www.muscleandstrength.com/exercises/one-kettlebell-sumo-deadlift
Weighted Twisting Sit Up,decline-dumbbell-situp,2,Twisting Decline Dumbbell Situps,https://www.muscleandstrength.com/exercises/decline-dumbbell-situp.html
Standing Kettlebell Twist,standing-barbell-twist,2,E1. Standing Broomstick Twists,https://www.muscleandstrength.com/exercises/standing-barbell-twist.html
Neutral Grip Overhead Press,seated-palms-in-dumbbell-press,2,Neutral Grip Dumbbell Press,https://www.muscleandstrength.com/exercises/seated-palms-in-dumbbell-press.html
Smith Machine Shrug,smith-machine-shrug,2,,https://www.muscleandstrength.com/exercises/smith-machine-shrug.html
Barbell clean and press,clean-press,2,Clean and Press,https://www.muscleandstrength.com/exercises/clean-press.html
30-50 yard sprint or sled push,,2,,
2 minute jog,,2,,
Floor Press,floor-bench-press,2,Floor Bench Press,https://www.muscleandstrength.com/exercises/floor-bench-press.html
Meadows Row,meadows-row,2,,https://www.muscleandstrength.com/exercises/meadows-row
Smith Machine Front Squat,smith-machine-front-squat,2,,https://www.muscleandstrength.com/exercises/smith-machine-front-squat.html
Standing Leg Curl,,2,,
B1. Seated One Arm Overhead Dumbbell Extension,one-arm-seated-overhead-tricep-extension,2,One-Arm Seated Overhead Tricep Extension,https://www.muscleandstrength.com/exercises/one-arm-seated-overhead-tricep-extension.html
Lying Low Cable Curl,lying-cable-curl-floor,2,1. Lying Rope Cable Curl,https://www.muscleandstrength.com/exercises/lying-cable-curl-floor.html
Front Double Biceps Pose Upper Cable Curl,standing-high-pulley-cable-curl,2,5a. Standing Cable Curl,https://www.muscleandstrength.com/exercises/standing-high-pulley-cable-curl.html
Smith Elbows Out Close Grip Bench Press,smith-machine-close-grip-bench-press,2,Smith Machine Close Grip Bench Press,https://www.muscleandstrength.com/exercises/smith-machine-close-grip-bench-press.html
1. Dead Bugs,,2,,
2. Supermans,,2,,
1a. Dead Bugs,,2,,
1b. Supermans,,2,,
Single Arm Behind Back Cable Lateral,one-arm-cable-lateral-raise,2,Two-Arm Cable Lateral Raise,https://www.muscleandstrength.com/exercises/one-arm-cable-lateral-raise.html
Decline Bench Leg Raise,decline-bench-leg-raise,2,Incline Bent Leg Hip Raise,https://www.muscleandstrength.com/exercises/decline-bench-leg-raise.html
Kettlebell Halo,kettlebell-halo,2,,https://www.muscleandstrength.com/exercises/kettlebell-halo
Kettlebell Single Leg Deadlift,1-kettlebell-single-leg-deadlift,2,,https://www.muscleandstrength.com/exercises/1-kettlebell-single-leg-deadlift
Reverse Grip Dumbbell Row,reverse-grip-bent-over-dumbbell-row,2,,https://www.muscleandstrength.com/exercises/reverse-grip-bent-over-dumbbell-row.html
Frog Pumps,,2,,
Knee Banded Glute Bridge,banded-glute-bridge,2,Banded Glute Bridge,https://www.muscleandstrength.com/exercises/banded-glute-bridge
Standing Kettlebell Shoulder Press,standing-kettlebell-press,2,Kettlebell Shoulder Press,https://www.muscleandstrength.com/exercises/standing-kettlebell-press
1 Arm Tricep Pushdown,one-arm-cable-extension,2,1. Single Arm Pressdown,https://www.muscleandstrength.com/exercises/one-arm-cable-extension.html
Activation Rows,,2,,
Rack Pulls,,2,,
Barbell Drag Curl,barbell-drag-curl,2,,https://www.muscleandstrength.com/exercises/barbell-drag-curl.html
Chest Supported Rows,incline-bench-barbell-row,2,,https://www.muscleandstrength.com/exercises/incline-bench-barbell-row.html
Sprint,,2,,
Frog Sit Up,frog-sit-up,2,,https://www.muscleandstrength.com/exercises/frog-sit-up
Shadow Boxing Combination,,2,,
A4. Barbell Push Press,push-press,2,Barbell Push Press,https://www.muscleandstrength.com/exercises/push-press
Assisted Pull Up,band-assisted-pull-up-from-knee,2,,https://www.muscleandstrength.com/exercises/band-assisted-pull-up-from-knee
Decline Chest Fly or Cable Crossover,decline-dumbbell-flys,2,Decline Dumbbell Fly,https://www.muscleandstrength.com/exercises/decline-dumbbell-flys.html
Single Dumbbell Front Raise,alternate-standing-dumbbell-front-raise,2,Front Dumbbell Raise (triset #1),https://www.muscleandstrength.com/exercises/alternate-standing-dumbbell-front-raise.html
Reverse Wrist Curl,reverse-barbell-wrist-curl-over-bench,2,Reverse Wrist Curls,https://www.muscleandstrength.com/exercises/reverse-barbell-wrist-curl-over-bench.html
Barbell Reverse Curl,ez-bar-reverse-grip-barbell-curl,2,Reverse EZ Bar Curls,https://www.muscleandstrength.com/exercises/ez-bar-reverse-grip-barbell-curl.html
Ab Crunch Machine,,2,,
4A: Box Jumps,,2,,
Plank With Feet On Bench,plank-with-feet-on-bench,2,Plank with Feet On Bench,https://www.muscleandstrength.com/exercises/plank-with-feet-on-bench.html
Lateral Band Walk,lateral-band-walk,2,D. Ankle Banded Lateral Squat Walk,https://www.muscleandstrength.com/exercises/lateral-band-walk
Close-Grip Barbell Curl,close-grip-standing-barbell-curl,2,4b. Close Grip Barbell Curl,https://www.muscleandstrength.com/exercises/close-grip-standing-barbell-curl.html
Superset #1: 3 sets of the following:,,2,,
Superset #2: 3 sets of the following:,,2,,
Incline Dumbbell Curls (1 rest-pause set for 20 – 30 total reps. Use strict form!),alternate-incline-dumbbell-curl,2,Incline Curls (With the same weight; try to hit 15 – 20 reps on the first set.),https://www.muscleandstrength.com/exercises/alternate-incline-dumbbell-curl.html
Power Cleans,,2,,
Overhead Barbell Shoulder Shrug,overhead-barbell-shrug,2,,https://www.muscleandstrength.com/exercises/overhead-barbell-shrug
Short All-Out Sprint Outdoors or on Treadmill,,2,,
Superman,superman,2,,https://www.muscleandstrength.com/exercises/superman
1. Tall Kneeling Medicine Ball Chest Pass,,2,,
4b. Tall Kneeling Pallof Press,,2,,
2. 3 Second Eccentric Chin Up,eccentric-only-chin-up,2,,https://www.muscleandstrength.com/exercises/eccentric-only-chin-up
Core or Rear Delt Exercise,,2,,
Core Exercise,,2,,
Abs exercise (See below),,2,,
"For the superset, rest 45-75 seconds between moves and 1:30-2 minutes between sets.",,2,,
"Perform either option A or B, not both.",,2,,
Wrist Curls,barbell-wrist-curl-over-bench,2,5. Wrist Curls,https://www.muscleandstrength.com/exercises/barbell-wrist-curl-over-bench.html
"*180 seconds timed rest
			*maximal intended velocity repetitions",,2,,
Lying Abduction (dumbbells/bands*),cable-hip-abduction,2,Hip Abduction,https://www.muscleandstrength.com/exercises/cable-hip-abduction.html
3a. Banded Good Morning,,2,,
3c. Reverse Hyper,,2,,
3d. Band Pushdown,,2,,
2a. Neutral Grip Dumbbell Bench Press,palms-in-dumbbell-bench-press,2,2b.Neutral Grip Dumbbell Press,https://www.muscleandstrength.com/exercises/palms-in-dumbbell-bench-press.html
Seated Twist,,2,,
Serrano Press,,2,,
- Ring Inn & Outs,,2,,
- Serrano Press,,2,,
B. Reverse Hyper Extension (on Swiss Ball),,2,,
5. Reverse Hyper,,2,,
Incline Dumbbell Row,incline-bench-two-arm-dumbbell-row,2,Dumbbell Chest Supported Rows,https://www.muscleandstrength.com/exercises/incline-bench-two-arm-dumbbell-row.html
Leaning Lateral Raise,one-arm-dumbbell-lateral-raise,2,5. Single Arm Lateral Raise,https://www.muscleandstrength.com/exercises/one-arm-dumbbell-lateral-raise.html
Repeat this entire cycle 2 to 3 times.,,2,,
Intervals on cardio of choice,,2,,
Superset: Incline bench dumbbell curl and parallel bar dip,incline-bench-dumbbell-curl,2,1. Incline Bench Dumbbell Curl,https://www.muscleandstrength.com/exercises/incline-bench-dumbbell-curl.html
Steady-state cardio of choice,,2,,
Full Frontals,,2,,
Arm Gauntlet: set up 7-8 arm exercises and do 15 reps for biceps and 20 reps for triceps for 5 sets.,,2,,
Dave Draper Forehead Curl,,2,,
Stick Twists,,2,,
4. Unilateral Reverse Tricep Extension,reverse-grip-one-arm-tricep-pushdown,2,One-Arm Reverse Pushdown,https://www.muscleandstrength.com/exercises/reverse-grip-one-arm-tricep-pushdown.html
Box Jump,,2,,
Power Clean,,2,,
Wide Grip Bench Press *,wide-grip-bench-press,2,c. Wide Grip Bench Press,https://www.muscleandstrength.com/exercises/wide-grip-bench-press.html
Right Arm Clean and Press,1-kb-kettlebell-clean-and-press,2,Left Arm Clean and Press,https://www.muscleandstrength.com/exercises/1-kb-kettlebell-clean-and-press
Lateral Bounds,,2,,
Lateral Squat Jumps,,2,,
6b. Box Jumps,box-jump,2,Box Jumps,https://www.muscleandstrength.com/exercises/box-jump
3-Way Sit-Up,,2,,
Side Lying Clams,side-lying-clam,2,,https://www.muscleandstrength.com/exercises/side-lying-clam
"Complete your entire back workout and then squat to a daily max as described earlier. If you deadlifted in your back workout, then use front squats to ensure a more vertical torso and less shearing forces on the lumbar spine.",,2,,
"Just as you read above, complete your entire chest workout, and then squat to a daily max. This time, back squats are OK.",,2,,
"Complete your entire shoulder workout, then back squat to daily max.",,2,"Complete your entire Shoulder workout, then back squat to daily max.",
"Post workout squats are not needed on this day. You’ve squatted heavy 4 times for the week, which is worthy of a day off of squatting. Enjoy your curls for the girls!",,2,,
2. Circuit,,2,,
Close Underhand Grip Pull Up,close-grip-chin-up,2,,https://www.muscleandstrength.com/exercises/close-grip-chin-up
Sprint Intervals,,2,,
Single Arm Dumbbell or kettlebell flat bench press,one-arm-dumbbell-bench-press,2,4b. One-Arm Dumbbell Press,https://www.muscleandstrength.com/exercises/one-arm-dumbbell-bench-press.html
Shoulder Press and Pulldown,,2,,
Chest Press and Row,,2,,
Biceps and Triceps,,2,,
Squat and Touch the Toes,,2,,
Jog Around the Block 2,,2,,
Kettlebell Renegade Row,,2,,
Weighted Knee-Ins,,2,,
Wrist Rollers,wrist-rollers,1,,https://www.muscleandstrength.com/exercises/wrist-rollers.html
Fat Gripz Dumbbell Farmers Carry,fat-gripz-dumbbell-farmers-carry,1,,https://www.muscleandstrength.com/exercises/fat-gripz-dumbbell-farmers-carry
Standing Wrist Curl,standing-wrist-curl,1,,https://www.muscleandstrength.com/exercises/standing-wrist-curl.html
Ab Machine Crunch,,1,,
Ab Machine Oblique Crunch,,1,,
Kettlebell Ab Pullover and Crunch,3-month-position-kettlebell-pullover,1,,https://www.muscleandstrength.com/exercises/3-month-position-kettlebell-pullover
Kettlebell Side Bend,,1,,
High Knees with Kettlebell,,1,,
Eccentric Only Dips,eccentric-only-dip,1,,https://www.muscleandstrength.com/exercises/eccentric-only-dip
V-Bar Pull Down,v-bar-pull-down,1,,https://www.muscleandstrength.com/exercises/v-bar-pull-down
Shotgun Row,standing-one-arm-cable-row,1,,https://www.muscleandstrength.com/exercises/standing-one-arm-cable-row.html
4. Single Arm Lateral Machine Raise,,1,,
5. Partial Lateral Raise,,1,,
2. Hammer Strength High Row Machine,,1,,
4. Rear Delt Fly Machine,,1,,
1. Box Squats,squat-to-bench,1,,https://www.muscleandstrength.com/exercises/squat-to-bench.html
3. Reverse Hack Squat,,1,,
5b. 5 Second Isometric Bicep Contractions,,1,,
Alternate Straight Leg Lower,alternate-straight-leg-lowering,1,,https://www.muscleandstrength.com/exercises/alternate-straight-leg-lowering
Plank to Hip Raise,plank-to-hip-raise,1,,https://www.muscleandstrength.com/exercises/plank-to-hip-raise
Pull ups: 50 reps in 5 minutes,,1,,
Bench Press: 50 reps in 5 minutes,,1,,
Squats: 50 reps in 5 minutes,,1,,
Pull ups: 50 strict reps in 5 minutes,,1,,
"Bench Press: 50 reps in 5 minutes. Start with WeightMaxReps10, strip weight as needed in order to get 10 reps per minute.",,1,,
"Squat: 50 in 5 minutes. Use WMR15, average 10 reps per minute",,1,,
Rest 1.5 - 2 minutes between exercises,,1,,
Close Grip Incline Bench Press,incline-close-grip-bench-press,1,,https://www.muscleandstrength.com/exercises/incline-close-grip-bench-press.html
"Week 1-3 - 5×5 Chins and Dips, rest 1 minute between moves and 2 minutes between sets",,1,,
"Week 4-6 - 5×10 Chins and Dips, rest 30-45 seconds between moves and 60-90 seconds between sets",,1,,
"Week 7-9 - RP-21 Chins and Dips, use the 7×3 and the 6×5 scheme on the same day.  Perform the Chins 7×3, rest 2-3 minutes and then perform the Dips 7×3.  After the dips rest 2-3 more minutes before performing the 6×5 chins.  Rest 2-3 minutes and then perform the 6×5 dips.  Please refer to my RP-21 training scheme for the details of the 7×3 and 6×5 sets.",,1,,
"Week 10-12 - Repeat week 1-3, but with heavier loads",,1,,
"Week 13-15 - Repeat week 4-6, but with heavier loads",,1,,
"Week 16-18 - Repeat week 7-9, but with heavier loads",,1,,
Sandbag Situps,,1,,
Oblique Crunches (each side),standing-oblique-cable-crunch,1,,https://www.muscleandstrength.com/exercises/standing-oblique-cable-crunch.html
X Lunges holding dumbbells,,1,,
Jumping Lunges,,1,,
Tricep Machine,,1,,
Inner Leg Machine,,1,,
Push Ups on Smith Machine Barbell,,1,,
Outer Leg Raises on Mat,,1,,
Butt Kicks (weighted),,1,,
Knee Raise,chair-knee-raise,1,,https://www.muscleandstrength.com/exercises/chair-knee-raise.html
Outer Leg Machine,,1,,
Static Crunch,,1,,
Muffin Tops,,1,,
Ball Chest Flys,,1,,
Standing on One Foot Hammer Curls,,1,,
Fireman Butt Kicks,,1,,
Ab Exercise (Pick your favorite),abs,1,,https://www.muscleandstrength.com/exercises/abs
Pause Squat,,1,,
Running in Place,,1,,
High Kick,,1,,
Hand Chest Press and Row,,1,,
Prone Dumbbell Incline Curl,prone-incline-dumbbell-curl,1,,https://www.muscleandstrength.com/exercises/prone-incline-dumbbell-curl.html
"Dumbbell step up - step down close to bench to work quads. Chins - focus on biceps, not back.",,1,,
"Cable crossovers - nice and slow, squeeze chest at the top of the movement as if you're trying to crush something between your chest muscles",,1,,
Wide Grip Cable Row (overhand grip),,1,,
Deadlifts - Increase weight on each set,,1,,
Prone Reverse Raise,,1,,
"Upright row - make arms right angles when you go up, focus on medial delt.
				Rope pulldowns - pull rope apart at the bottom of the movement, don't cheat!",,1,,
"Swiss ball dumbbell press:
						Use alternate arms and 3-1-3 rep timing. Focus on squeezing the muscle at the top of the movement and keeping the tension on the muscle throughout the whole set.

						Incline bench:
						After each set hit the ground for as many pushups as possible with slow rep timing.

						Cable crossovers:
						We're looking for complete control here, ultra slow and controlled. Huge squeeze in the middle. Concentrate on muscle pump!",,1,,
"Chest Dips:
						Slow movement. Add weight if you can. Lean forward to emphasize pecs.

						Bench superset:
						Heavy benching followed by 12 slow flys. Keep arms wide and low for good stretch and squeeze on contraction at the top of exercise.",,1,,
"Slow reps, perfect form. No intensity exercises this week, preparing for drop sets next week.",,1,,
"Dumbbell bench press drop set:
						Start with a weight that you can just press for 10 reps. Drop down 4 times. For example: 30kg, 25kg, 20kg, 15kg.

						Bench press:
						You should be almost spent from that last drop set so now we're doing slow reps with a lighter weight focusing on controlling the weight, stretch at the bottom and big contraction at the top. Look for 4-1-4 rep timing. Weight does not matter on this!

						Cable crossovers:
						Same instructions as dumbbell drop set. Good from, good stretch and contraction - feel the chest burn!",,1,,
"All exercises should be done slowly! Focus on crunching the ab muscles, not rotating at the hips. You should use enough weight so that you can just complete the set with good technique. If you feel like you can do a few more reps, add more weight.",,1,,
Hanging knee raises - twist left AND right on each rep.,,1,,
Resistance Band Pull Down,,1,,
4. Reverse Grip Dumbbell Press,reverse-dumbbell-bench-press,1,,https://www.muscleandstrength.com/exercises/reverse-dumbbell-bench-press.html
Kettlebell Overhead Press,,1,,
Kettlebell Split Lunge,double-kettlebell-split-squat,1,,https://www.muscleandstrength.com/exercises/double-kettlebell-split-squat
Kettlebell Lateral Lunge,kettlebell-lateral-lunge,1,,https://www.muscleandstrength.com/exercises/kettlebell-lateral-lunge
Kettlebell Clean,1-kb-kettlebell-clean,1,,https://www.muscleandstrength.com/exercises/1-kb-kettlebell-clean
Kettlebell Angled Press,kettlebell-angled-press,1,,https://www.muscleandstrength.com/exercises/kettlebell-angled-press
One Arm Reverse Fly,one-arm-bent-over-dumbbell-reverse-fly,1,,https://www.muscleandstrength.com/exercises/one-arm-bent-over-dumbbell-reverse-fly.html
Single Arm Kettlebell Deadlift,1-kettlebell-suitcase-deadlift,1,,https://www.muscleandstrength.com/exercises/1-kettlebell-suitcase-deadlift
Close Grip EZ-Bar Curl,close-grip-ez-bar-curl,1,,https://www.muscleandstrength.com/exercises/close-grip-ez-bar-curl.html
Wide Grip EZ-Bar Curl,wide-grip-ez-bar-curl,1,,https://www.muscleandstrength.com/exercises/wide-grip-ez-bar-curl.html
Close Grip Triceps Press (elbows wide),close-grip-ez-bar-press,1,,https://www.muscleandstrength.com/exercises/close-grip-ez-bar-press
Rope Hammer Cable Curl,,1,,
Overhead Rope Triceps Extension,standing-low-pulley-overhead-tricep-extension,1,,https://www.muscleandstrength.com/exercises/standing-low-pulley-overhead-tricep-extension.html
Rack Pull - Above the Knee,,1,,
Rack Pull - Below the Knee,,1,,
Incline Cable Fly,incline-cable-flys,1,,https://www.muscleandstrength.com/exercises/incline-cable-flys.html
Split squat jumps,dumbbell-split-jump,1,,https://www.muscleandstrength.com/exercises/dumbbell-split-jump.html
One-arm kettlebell or dumbbell clean and press,,1,,
Box jumps,,1,,
Renegade rows,,1,,
Mountain climbers,,1,,
One-arm kettlebell or dumbbell push press,,1,,
Floor wipers,,1,,
Two-arm kettlebell or dumbbell clean and press,,1,,
3. Exercise Ball Leg Curl,exercise-ball-hamstring-curl,1,,https://www.muscleandstrength.com/exercises/exercise-ball-hamstring-curl
Resistance Band Overhead Press,,1,,
Single Leg Hip Thrust,single-leg-hip-thrust,1,,https://www.muscleandstrength.com/exercises/single-leg-hip-thrust
Band Curl,,1,,
Resistance Band Chest Press,,1,,
Close Grip Resistance Band Pull Down,,1,,
Single Arm Resistance Band Pull Down,,1,,
Paused Weighted Push-Up,paused-push-up,1,,https://www.muscleandstrength.com/exercises/paused-push-up
Landmine Lateral Raise,landmine-lateral-raise,1,,https://www.muscleandstrength.com/exercises/landmine-lateral-raise
Banded Single Leg Good Morning,single-leg-good-morning,1,,https://www.muscleandstrength.com/exercises/single-leg-good-morning
Side Plank with Hip Dip,side-plank-with-hip-dip,1,,https://www.muscleandstrength.com/exercises/side-plank-with-hip-dip
Single-Arm Landmine Press,single-arm-landmine-press,1,,https://www.muscleandstrength.com/exercises/single-arm-landmine-press
Landmine Concentration Curl,,1,,
Banded Tricep Extension,banded-tricep-extension,1,,https://www.muscleandstrength.com/exercises/banded-tricep-extension
1 ½ Landmine Squat,,1,,
Standing Banded Hip Abduction,,1,,
Machine Glute Kickbacks,,1,,
Machine Dips,,1,,
Machine Pull Down,,1,,
Machine Pullover,,1,,
Machine Chin Up,,1,,
(Weighted) Chin Up,weighted-chin-up,1,,https://www.muscleandstrength.com/exercises/weighted-chin-up
Single Leg Standing Leg Curl,,1,,
Overhead Lat Pull Down Curl,,1,,
A2. Reverse Barbell Curl,,1,,
Incline Cable Push-Outs,,1,,
Decline 2 Arm Dumbbell Extension,,1,,
Seated Concentration Curl,barbell-concentration-curl,1,,https://www.muscleandstrength.com/exercises/barbell-concentration-curl.html
Seated 1/2 Rep Barbell Curl,seated-barbell-curl,1,,https://www.muscleandstrength.com/exercises/seated-barbell-curl.html
Reverse Grip Low Cable Curl,standing-cable-reverse-curl,1,,https://www.muscleandstrength.com/exercises/standing-cable-reverse-curl.html
4. Band Hold (on back),,1,,
4. Band Hold (kneeling),,1,,
3b. Band Hold (kneeling),,1,,
2a. Reverse Hyperextension,,1,,
1a. Walk Outs,,1,,
1d. Band Hold (kneeling),,1,,
1b. Plate Arches,,1,,
1c. Reverse Hyperextensions,,1,,
3. Single Leg Standing Leg Curl,,1,,
Horizontal Leg Press Machine,,1,,
Single Leg Side Leg Press***,,1,,
Torso Elevated Lying Leg Curl****,,1,,
Smith Stiff Leg Deadlift,smith-machine-stiff-leg-deadlift,1,,https://www.muscleandstrength.com/exercises/smith-machine-stiff-leg-deadlift.html
Single Arm Reverse Cable Fly,one-arm-cable-reverse-fly,1,,https://www.muscleandstrength.com/exercises/one-arm-cable-reverse-fly.html
Incline Dumbbell Side Lateral Raise,,1,,
A2. Incline Cable Front Raise,cable-front-raise,1,,https://www.muscleandstrength.com/exercises/cable-front-raise.html
Single Arm Palm In Seated Machine Press,,1,,
Flutter Kicks,lying-alternate-floor-leg-raise,1,,https://www.muscleandstrength.com/exercises/lying-alternate-floor-leg-raise.html
Scissor Crosses,,1,,
Decline Crunch,,1,,
4. One Arm Preacher Curl Machine,,1,,
Reverse wrist curl,reverse-barbell-wrist-curl,1,,https://www.muscleandstrength.com/exercises/reverse-barbell-wrist-curl.html
